Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,42420,FUR-BO-10001798,261.96,2,0.0,41.9136
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,42420,FUR-CH-10000454,731.9399999999999,3,0.0,219.58199999999997
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Corporate,90036,OFF-LA-10000240,14.62,2,0.0,6.8713999999999995
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,33311,FUR-TA-10000577,957.5775,5,0.45,-383.03100000000006
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,33311,OFF-ST-10000760,22.368000000000002,2,0.2,2.516399999999999
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,90032,FUR-FU-10001487,48.86,7,0.0,14.169399999999996
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,90032,OFF-AR-10002833,7.28,4,0.0,1.9656000000000002
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002275,907.152,6,0.2,90.71520000000004
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,90032,OFF-BI-10003910,18.504,3,0.2,5.7825
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,90032,OFF-AP-10002892,114.9,5,0.0,34.46999999999999
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,90032,FUR-TA-10001539,1706.1840000000002,9,0.2,85.3091999999998
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002033,911.424,4,0.2,68.35680000000002
